Item Description,Measure,Quantity,Cost Price,Unit Price,Wholesale Price,Category,Brand,SKU,Barcode
A3 POSTA SKY-LINE-BRAND,Piece,1464,12,16,14,Paper & Envelopes,Generic,SKU-SAMPLE-01,690000000001
A3 POSTA SINER-LINE BRAND,Piece,300,13,17,15,Paper & Envelopes,Generic,SKU-SAMPLE-02,690000000002
A4 POSTA SKY-LINE BRAND,Piece,314,10,13,11,Paper & Envelopes,Generic,SKU-SAMPLE-03,690000000003
A4 WHITE POSTA SDY LINE BRAND,Piece,37,8,10,9,Paper & Envelopes,Generic,SKU-SAMPLE-04,690000000004
A4 POSTA (የጨረታ) ማጣበቂያ የሌለው),Piece,726,5,7,6,Paper & Envelopes,Generic,SKU-SAMPLE-05,690000000005
BIC ROUND STIC BLACK,Piece,610,18,23,20,Writing Instruments,Bic,SKU-SAMPLE-06,690000000006
BOX FILE KENT,Piece,338,215,280,246,Filing & Binders,Generic,SKU-SAMPLE-07,690000000007
CASIO CALCULATOR SMALL SIZE,Piece,36,538,700,616,Office Machines & Electronics,Casio,SKU-SAMPLE-08,690000000008
DOUBLE A A4 PAPER 80GSM,Ream,45,692,900,792,Paper & Envelopes,Double A,SKU-SAMPLE-09,690000000009
UHU GLUE STICK,Piece,450,73,95,83,Adhesives & Cutting,Generic,SKU-SAMPLE-10,690000000010
